0.368,2.2005,0,0.53898,1.2484,0.48017
0.369,2.2005,0,0.53898,1.248,0.48004
0.37,2.2005,0,0.53898,1.2475,0.47992
0.371,2.2005,0,0.53898,1.2471,0.4798
0.372,2.2005,0,0.53898,1.2467,0.47967
0.373,2.2005,0,0.53897,1.2463,0.47955
0.374,2.2005,0,0.53897,1.2459,0.47943
0.375,2.2005,0,0.53897,1.2455,0.4793
0.376,2.2005,0,0.53897,1.2451,0.47918
0.377,2.2005,0,0.53897,1.2446,0.47905
0.378,2.2005,0,0.53897,1.2442,0.47893
0.379,2.2005,0,0.53897,1.2438,0.47881
0.38,2.2005,0,0.53897,1.2434,0.47868
0.381,2.2005,0,0.53897,1.243,0.47856
0.382,2.2005,0,0.53897,1.2426,0.47843
0.383,2.2005,0,0.53897,1.2421,0.47831
0.384,2.2005,0,0.53897,1.2417,0.47819
0.385,2.2005,0,0.53897,1.2413,0.47806
0.386,2.2005,0,0.53897,1.2409,0.47794
0.387,2.2005,0,0.53897,1.2405,0.47781
0.388,2.2005,0,0.53897,1.2401,0.47769
0.389,2.2005,0,0.53897,1.2397,0.47757
0.39,2.2005,0,0.53897,1.2392,0.47744
0.391,2.2005,0,0.53897,1.2388,0.47732
0.392,2.2005,0,0.53897,1.2384,0.4772
0.393,2.2005,0,0.53897,1.238,0.47707
0.394,2.2005,0,0.53897,1.2376,0.47695
0.395,2.2005,0,0.53897,1.2372,0.47682
0.396,2.2005,0,0.53897,1.2367,0.4767
0.397,2.2005,0,0.53897,1.2363,0.47658
0.398,2.2005,0,0.53897,1.2359,0.47645
0.399,2.2005,0,0.53897,1.2355,0.47633
0.4,2.2005,0,0.53897,1.2351,0.4762
0.401,2.2005,0,0.53897,1.2347,0.47608
0.402,2.2005,0,0.53897,1.2343,0.47596
0.403,2.2005,0,0.53897,1.2338,0.47583
0.404,2.2005,0,0.53897,1.2334,0.47571
0.405,2.2005,0,0.53897,1.233,0.47558
0.406,2.2005,0,0.53897,1.2326,0.47546
0.407,2.2005,0,0.53897,1.2322,0.47534
0.408,2.2005,0,0.53897,1.2318,0.47521
0.409,2.2005,0,0.53897,1.2314,0.47509
0.41,2.2005,0,0.53897,1.2309,0.47497
0.411,2.2005,0,0.53897,1.2305,0.47484
0.412,2.2005,0,0.53897,1.2301,0.47472
0.413,2.2005,0,0.53897,1.2297,0.47459
0.414,2.2005,0,0.53897,1.2293,0.47447
0.415,2.2005,0,0.53897,1.2289,0.47435
0.416,2.2005,0,0.53897,1.2284,0.47422
0.417,2.2005,0,0.53897,1.228,0.4741
0.418,2.2005,0,0.53897,1.2276,0.47397
0.419,2.2005,0,0.53897,1.2272,0.47385
0.42,2.2005,0,0.53897,1.2268,0.47373
0.421,2.2005,0,0.53897,1.2264,0.4736
0.422,2.2005,0,0.53897,1.226,0.47348
0.423,2.2005,0,0.53897,1.2255,0.47335
